iter	Passed	Remaining
0	159	47837
1	168	25101
2	176	17476
3	186	13799
4	187	11082
5	196	9625
6	204	8541
7	212	7764
8	220	7125
9	229	6651
10	237	6230
11	246	5911
12	254	5611
13	263	5374
14	271	5153
15	279	4969
16	288	4798
17	296	4650
18	305	4510
19	312	4377
20	320	4259
21	328	4148
22	335	4046
23	343	3952
24	351	3864
25	359	3785
26	366	3709
27	374	3638
28	382	3571
29	390	3514
30	398	3454
31	405	3399
32	413	3346
33	421	3296
34	429	3248
35	436	3202
36	444	3158
37	445	3073
38	453	3034
39	461	2997
40	468	2961
41	476	2926
42	484	2893
43	491	2861
44	499	2830
45	507	2800
46	511	2751
47	519	2726
48	527	2700
49	535	2676
50	543	2652
51	552	2633
52	560	2612
53	569	2594
54	578	2575
55	587	2561
56	595	2540
57	604	2522
58	612	2502
59	620	2482
60	628	2462
61	636	2441
62	644	2423
63	652	2405
64	653	2363
65	662	2347
66	663	2308
67	672	2293
68	680	2277
69	689	2265
70	702	2265
71	712	2255
72	724	2252
73	732	2237
74	740	2222
75	749	2208
76	757	2193
77	765	2179
78	773	2164
79	782	2153
80	790	2137
81	799	2124
82	807	2110
83	815	2097
84	823	2083
85	832	2071
86	840	2057
87	848	2044
88	856	2031
89	865	2019
90	873	2005
91	882	1995
92	883	1967
93	892	1955
94	900	1942
95	907	1929
96	911	1908
97	912	1880
98	920	1868
99	930	1860
100	943	1859
101	960	1863
102	970	1856
103	981	1850
104	991	1840
105	1001	1832
106	1010	1823
107	1020	1814
108	1030	1805
109	1040	1797
110	1049	1786
111	1058	1776
112	1066	1764
113	1075	1755
114	1084	1744
115	1093	1734
116	1100	1721
117	1108	1710
118	1116	1698
119	1124	1686
120	1132	1675
121	1140	1663
122	1147	1651
123	1156	1640
124	1164	1629
125	1172	1619
126	1180	1608
127	1188	1597
128	1197	1587
129	1204	1575
130	1212	1564
131	1220	1553
132	1228	1541
133	1235	1530
134	1243	1519
135	1251	1508
136	1258	1497
137	1266	1486
138	1274	1476
139	1282	1465
140	1290	1454
141	1297	1443
142	1305	1433
143	1313	1422
144	1321	1412
145	1328	1401
146	1336	1391
147	1344	1380
148	1352	1370
149	1360	1360
150	1367	1349
151	1375	1339
152	1383	1329
153	1391	1319
154	1399	1308
155	1407	1298
156	1414	1288
157	1422	1278
158	1430	1268
159	1438	1258
160	1445	1248
161	1453	1238
162	1461	1228
163	1469	1218
164	1476	1208
165	1484	1198
166	1492	1188
167	1500	1178
168	1508	1168
169	1515	1159
170	1523	1149
171	1531	1139
172	1538	1129
173	1546	1120
174	1554	1110
175	1562	1100
176	1570	1091
177	1577	1081
178	1586	1072
179	1593	1062
180	1601	1052
181	1609	1043
182	1617	1033
183	1624	1024
184	1632	1014
185	1640	1005
186	1647	995
187	1655	986
188	1663	976
189	1670	967
190	1678	957
191	1686	948
192	1693	939
193	1701	929
194	1709	920
195	1716	911
196	1724	901
197	1732	892
198	1740	883
199	1748	874
200	1756	864
201	1763	855
202	1771	846
203	1779	837
204	1786	828
205	1794	818
206	1802	809
207	1809	800
208	1817	791
209	1825	782
210	1832	773
211	1840	764
212	1848	754
213	1855	745
214	1863	736
215	1871	727
216	1879	718
217	1886	709
218	1894	700
219	1902	691
220	1910	682
221	1918	673
222	1925	664
223	1933	656
224	1941	647
225	1949	638
226	1956	629
227	1964	620
228	1972	611
229	1980	602
230	1988	593
231	1996	585
232	2003	576
233	2011	567
234	2019	558
235	2027	549
236	2034	540
237	2042	532
238	2050	523
239	2058	514
240	2066	505
241	2075	497
242	2083	488
243	2091	479
244	2098	471
245	2106	462
246	2114	453
247	2122	445
248	2130	436
249	2137	427
250	2145	418
251	2153	410
252	2161	401
253	2171	393
254	2180	384
255	2189	376
256	2197	367
257	2205	359
258	2215	350
259	2223	342
260	2231	333
261	2240	324
262	2248	316
263	2257	307
264	2265	299
265	2274	290
266	2282	282
267	2291	273
268	2299	265
269	2308	256
270	2316	247
271	2326	239
272	2335	231
273	2346	222
274	2357	214
275	2368	205
276	2378	197
277	2388	189
278	2397	180
279	2406	171
280	2416	163
281	2427	154
282	2436	146
283	2446	137
284	2455	129
285	2464	120
286	2472	112
287	2480	103
288	2488	94
289	2496	86
290	2504	77
291	2511	68
292	2520	60
293	2528	51
294	2536	42
295	2544	34
296	2552	25
297	2559	17
298	2567	8
299	2575	0
