iter	Passed	Remaining
0	5	1644
1	22	3360
2	67	6722
3	95	7102
4	97	5751
5	108	5294
6	116	4876
7	129	4728
8	150	4866
9	161	4693
10	172	4521
11	180	4341
12	190	4202
13	198	4048
14	207	3946
15	215	3827
16	225	3753
17	233	3660
18	242	3591
19	251	3517
20	260	3463
21	270	3418
22	279	3360
23	287	3308
24	297	3268
25	307	3244
26	316	3200
27	325	3161
28	334	3124
29	342	3086
30	351	3051
31	360	3023
32	370	2995
33	377	2957
34	388	2940
35	396	2910
36	406	2888
37	407	2811
38	416	2788
39	424	2762
40	434	2745
41	442	2720
42	453	2709
43	461	2684
44	470	2668
45	479	2649
46	484	2609
47	492	2585
48	502	2572
49	510	2551
50	519	2538
51	528	2521
52	538	2507
53	547	2493
54	555	2473
55	564	2461
56	572	2441
57	582	2429
58	590	2410
59	600	2401
60	609	2386
61	617	2372
62	626	2357
63	635	2344
64	637	2303
65	646	2292
66	648	2254
67	656	2240
68	666	2231
69	675	2218
70	684	2208
71	693	2197
72	703	2186
73	713	2177
74	721	2163
75	732	2157
76	740	2145
77	750	2135
78	760	2127
79	769	2115
80	779	2106
81	787	2092
82	798	2088
83	808	2077
84	817	2068
85	828	2060
86	836	2048
87	846	2039
88	855	2029
89	863	2015
90	873	2006
91	882	1995
92	883	1967
93	895	1961
94	906	1955
95	914	1942
96	918	1922
97	919	1895
98	928	1885
99	937	1875
100	946	1864
101	956	1856
102	964	1844
103	974	1836
104	984	1828
105	994	1819
106	1003	1809
107	1011	1798
108	1021	1789
109	1030	1779
110	1040	1771
111	1050	1762
112	1060	1755
113	1070	1746
114	1078	1735
115	1093	1733
116	1105	1728
117	1113	1718
118	1125	1711
119	1137	1706
120	1148	1699
121	1158	1690
122	1170	1684
123	1181	1676
124	1191	1668
125	1204	1663
126	1214	1653
127	1224	1645
128	1236	1638
129	1246	1630
130	1257	1621
131	1268	1614
132	1277	1604
133	1289	1597
134	1300	1589
135	1309	1579
136	1320	1571
137	1332	1563
138	1341	1554
139	1353	1546
140	1363	1537
141	1372	1527
142	1386	1522
143	1397	1514
144	1407	1504
145	1418	1496
146	1428	1486
147	1436	1475
148	1446	1466
149	1454	1454
150	1465	1446
151	1475	1436
152	1484	1426
153	1494	1416
154	1503	1406
155	1516	1399
156	1525	1389
157	1535	1379
158	1545	1370
159	1557	1362
160	1570	1355
161	1584	1349
162	1596	1342
163	1606	1331
164	1616	1322
165	1625	1312
166	1634	1301
167	1642	1290
168	1651	1280
169	1660	1269
170	1668	1258
171	1676	1247
172	1685	1237
173	1695	1227
174	1706	1218
175	1715	1208
176	1726	1199
177	1736	1189
178	1746	1180
179	1758	1172
180	1767	1162
181	1778	1152
182	1788	1143
183	1797	1133
184	1810	1125
185	1820	1115
186	1828	1105
187	1839	1095
188	1847	1085
189	1858	1076
190	1867	1065
191	1876	1055
192	1887	1046
193	1895	1035
194	1905	1026
195	1914	1015
196	1923	1005
197	1932	995
198	1942	985
199	1951	975
200	1959	965
201	1969	955
202	1976	944
203	1986	935
204	1994	924
205	2004	914
206	2012	904
207	2022	894
208	2031	884
209	2040	874
210	2050	864
211	2058	854
212	2068	845
213	2076	834
214	2086	824
215	2095	814
216	2103	804
217	2113	794
218	2121	784
219	2131	775
220	2139	764
221	2149	755
222	2158	745
223	2168	735
224	2178	726
225	2186	716
226	2196	706
227	2204	696
228	2215	686
229	2225	677
230	2234	667
231	2243	657
232	2251	647
233	2261	637
234	2269	627
235	2279	618
236	2287	608
237	2297	598
238	2305	588
239	2315	578
240	2324	568
241	2332	559
242	2341	549
243	2349	539
244	2358	529
245	2367	519
246	2377	510
247	2385	500
248	2395	490
249	2402	480
250	2413	471
251	2422	461
252	2431	451
253	2441	442
254	2449	432
255	2459	422
256	2468	412
257	2478	403
258	2486	393
259	2495	383
260	2504	374
261	2512	364
262	2521	354
263	2529	344
264	2540	335
265	2548	325
266	2559	316
267	2567	306
268	2577	297
269	2586	287
270	2594	277
271	2604	268
272	2612	258
273	2621	248
274	2629	239
275	2639	229
276	2647	219
277	2658	210
278	2666	200
279	2675	191
280	2684	181
281	2692	171
282	2702	162
283	2710	152
284	2720	143
285	2728	133
286	2738	124
287	2747	114
288	2756	104
289	2766	95
290	2775	85
291	2785	76
292	2793	66
293	2803	57
294	2812	47
295	2821	38
296	2830	28
297	2839	19
298	2847	9
299	2856	0
